google_address,Predicted AirBNB Price,Zillow List Price,Bathrooms,Bedrooms,Zipcode,Neighborhood,Lat,Long
932 Northeast 193rd Avenue,86.84023827776683,372700,2.0,3.0,97230,North Gresham,45.52971268,-122.4640121
376 Northwest 23rd Court,92.07319360473801,332000,2.0,3.0,97030,North Central,45.51254272,-122.4348831
935 Northeast 22nd Street,92.07319360473801,340000,2.0,3.0,97030,North Central,45.51218796,-122.4219437
825 Southeast 208th Avenue,92.07319360473801,365000,2.0,3.0,97030,North Central,45.51659775,-122.4497833
2675 Northeast Cleveland Avenue,168.50543185768416,448900,3.0,4.0,97030,North Central,45.51649857,-122.4220734
525 Northeast 198th Avenue,86.84023827776683,350000,2.0,3.0,97230,North Gresham,45.52698135,-122.4590454
129 Southeast 220th Avenue,68.49270573653143,355000,1.0,3.0,97030,North Central,45.521492,-122.4358063
18605 Northeast Everett Court,119.24759473516856,333768,1.0,4.0,97230,Rockwood,45.52465439,-122.4714966
18901 Northeast Everett Court,142.82808260337515,450000,2.0,4.0,97230,Rockwood,45.5247879,-122.4690781
1720 Southeast 181st Avenue,55.69206142021981,321000,1.0,3.0,97233,Centennial,45.5102272,-122.476532
1110 Southeast 208th Avenue,144.92494398947758,385000,2.0,4.0,97030,North Central,45.51529312,-122.4491882
1025 Southeast 212th Avenue,68.49270573653143,316000,1.0,3.0,97030,North Central,45.51514053,-122.4451752
18457 Southeast Stephens Circle,26.420798903686816,305000,2.0,2.0,97233,Centennial,45.50989914,-122.4725647
1494 Northeast 176th Avenue,117.60339291376954,303000,3.0,3.0,97230,Wilkes East,45.53421021,-122.4816666
17153 Northeast Flanders Way,89.97633221863556,365000,2.0,3.0,97230,Rockwood,45.52550888,-122.4869843
21018 Southeast Morrison Street,68.49270573653143,310000,1.0,3.0,97030,North Central,45.51673126,-122.447052
2115 Northeast 36th Court,92.07319360473801,326000,2.0,3.0,97030,North Central,45.52267838,-122.4107437
17910 Southeast Alder Street,89.89480295911079,325000,2.0,3.0,97233,Rockwood,45.51707458,-122.4785614
1273 Northeast 186th Drive,163.272476530713,373000,3.0,4.0,97230,North Gresham,45.53168106,-122.4709854
2310 Northeast Francis Court,116.36183171765688,515000,3.0,3.0,97030,Northeast,45.51209641,-122.4092789
2049 Southeast 212th Avenue,93.08483681146986,319000,2.0,3.0,97030,Northwest,45.51125336,-122.4451904
1509 Southeast 211th Avenue,81.29459287736657,340000,1.5,3.0,97030,Northwest,45.51168442,-122.4461517
17914 Southeast Clay Street,55.69206142021981,300000,1.0,3.0,97233,Centennial,45.5111351,-122.4785767
909 Southeast 224th Avenue,92.07319360473801,325500,2.0,3.0,97030,North Central,45.51595306,-122.4329758
912 Southeast 205th Drive,92.07319360473801,325000,2.0,3.0,97030,North Central,45.51587296,-122.452034
416 Southeast 240th Court,144.92494398947758,372500,2.0,4.0,97030,North Central,45.51956177,-122.4160233
2505 Northeast Cleveland Avenue,68.49270573653143,325000,1.0,3.0,97030,North Central,45.51582336,-122.4214325
21814 Southeast Oak Street,92.07319360473801,320000,2.0,3.0,97030,North Central,45.51988602,-122.4377899
1816 Northeast Elliott Place,92.07319360473801,300000,2.0,3.0,97030,North Central,45.50963974,-122.4238358
2729 Northeast Hood Avenue,168.50543185768416,454000,3.0,4.0,97030,North Central,45.51624298,-122.4288101
2243 Northwest Norman Avenue,115.65368147294458,380000,3.0,3.0,97030,North Central,45.51254654,-122.4382095
1231 Southeast 175th Place,66.31431509090422,329000,1.0,3.0,97233,Rockwood,45.51390839,-122.4830475
2940 Northeast Beech Drive,221.35718224242373,502000,3.0,5.0,97030,North Central,45.51793289,-122.4268341
17706 Southeast Washington Street,89.89480295911079,345500,2.0,3.0,97233,Rockwood,45.51779556,-122.4810181
17512 Northeast Glisan Street,166.40857047158173,384000,3.0,4.0,97230,Rockwood,45.52613449,-122.4826202
312 Northeast 197th Avenue,89.97633221863556,225000,2.0,3.0,97230,Rockwood,45.5251503,-122.4596405
1345 Southeast 208th Avenue,93.08483681146986,379900,2.0,3.0,97030,Northwest,45.51280594,-122.4488068
1120 Southeast 208th Avenue,92.07319360473801,300000,2.0,3.0,97030,North Central,45.51486588,-122.4492264
405 Northeast 168th Avenue,89.97633221863556,355000,2.0,3.0,97230,Rockwood,45.52568436,-122.4899368
17111 Northeast Glisan Street,94.02290504556296,263000,2.0,3.0,97230,Wilkes East,45.5268364,-122.4868622
1780 Northeast Juniper Avenue,68.49270573653143,320000,1.0,3.0,97030,North Central,45.50942993,-122.4222412
1124 Southeast 223rd Avenue,68.49270573653143,320000,1.0,3.0,97030,North Central,45.51433182,-122.4333496
1631 Northwest 19th Street,116.66532467967643,410000,3.0,3.0,97030,Northwest,45.51062012,-122.4482193
1955 Northwest 17th Street,93.08483681146986,410500,2.0,3.0,97030,Northwest,45.50967789,-122.4514923
1047 Northwest Council Terrace,116.66532467967643,292700,3.0,3.0,97030,Northwest,45.51168823,-122.4429398
2410 Northeast 164th Avenue,94.02290504556296,470000,2.0,3.0,97230,Wilkes East,45.54049683,-122.4935989
356 Northeast 168th Avenue,89.97633221863556,370000,2.0,3.0,97230,Rockwood,45.52553558,-122.4894333
721 Southeast 221st Avenue,144.92494398947758,385000,2.0,4.0,97030,North Central,45.51655197,-122.4353409
16951 Southeast Ankeny Street,113.47529082731738,248000,3.0,3.0,97233,Rockwood,45.52136993,-122.4887314
307 Northeast 176th Avenue,66.39584435042897,350000,1.0,3.0,97230,Rockwood,45.5245285,-122.4822235
16801 Northeast Oregon Street,170.4551432985091,422000,3.0,4.0,97230,Wilkes East,45.52859879,-122.4900513
20841 Southeast Burnside Court,93.08483681146986,365000,2.0,3.0,97030,Northwest,45.51296997,-122.4477234
31 Northeast 179th Avenue,89.97633221863556,260000,2.0,3.0,97230,Rockwood,45.52243805,-122.4789581
16826 Southeast Pine Street,113.47529082731738,378000,3.0,3.0,97233,Rockwood,45.5203743,-122.4894104
21637 Southeast Ash Street,15.640955351791845,275000,1.0,2.0,97030,North Central,45.52129364,-122.4400101
17327 Northeast Wasco Street,170.4551432985091,390000,3.0,4.0,97230,Wilkes East,45.53262711,-122.4843597
17199 Southeast Pine Street,89.89480295911079,342000,2.0,3.0,97233,Rockwood,45.52082062,-122.4863739
491 Northeast 30th Drive,92.07319360473801,375000,2.0,3.0,97030,North Central,45.51881027,-122.425766
1918 Northwest Florence Avenue,63.81357429493686,291500,3.0,2.0,97030,Northwest,45.51001358,-122.4429169
539 Northeast 185th Place,139.69198866250642,388000,2.0,4.0,97230,North Gresham,45.52713013,-122.4723053
21009 Southeast Main Drive,92.07319360473801,350000,2.0,3.0,97030,North Central,45.5140419,-122.4468765
805 Northeast 195th Avenue,110.42072614597342,400000,3.0,3.0,97230,North Gresham,45.52866745,-122.4625244
1127 Southeast 226th Avenue,92.07319360473801,330000,2.0,3.0,97030,North Central,45.51436234,-122.4308167
819 Southeast 179th Avenue,113.47529082731738,349900,3.0,3.0,97233,Rockwood,45.51663589,-122.4791412
16782 Northeast Schuyler Court,94.02290504556296,445000,2.0,3.0,97230,Wilkes East,45.53587341,-122.490387
410 North Northeast 176th Avenue,89.97633221863556,399000,2.0,3.0,97230,Rockwood,45.5254631,-122.4820633
2317 Northwest Aubrey Lane,92.07319360473801,340000,2.0,3.0,97030,North Central,45.51290894,-122.4363937
16506 Northeast Pacific Drive,158.6648993644058,175000,2.5,4.0,97230,Wilkes East,45.52948761,-122.4930878
16710 Northeast Pacific Drive,246.88738155145526,465000,4.0,5.0,97230,Wilkes East,45.52949524,-122.4909134
1312 Southeast 211th Avenue,115.65368147294458,395777,3.0,3.0,97030,North Central,45.51355362,-122.44561
2310 Northeast Juniper Avenue,92.07319360473801,349900,2.0,3.0,97030,North Central,45.51357269,-122.4227219
2205 Northeast Francis Court,92.7813438494503,406000,2.0,3.0,97030,Northeast,45.51234436,-122.4117126
1450 Southeast 179th Avenue,132.12429967316595,350000,2.0,4.0,97233,Centennial,45.51194,-122.4786072
896 Southeast 193rd Avenue,113.47529082731738,260000,3.0,3.0,97233,Rockwood,45.51629639,-122.4643021
2 Southeast 205th Place,92.07319360473801,304000,2.0,3.0,97030,North Central,45.52235031,-122.4519653
1024 Northwest Council Terrace,116.66532467967643,294000,3.0,3.0,97030,Northwest,45.51171875,-122.4423676
936 Northeast 192nd Avenue,63.25975040956025,320000,1.0,3.0,97230,North Gresham,45.52974701,-122.4650726
880 Southeast 193rd Avenue,60.62354044257781,255000,3.0,2.0,97233,Rockwood,45.51647949,-122.4643021
933 Northeast 174th Avenue,211.5166497491454,240000,2.5,5.0,97230,Wilkes East,45.52972794,-122.4842606
18594 Northeast Multnomah Terrace,110.42072614597342,380000,3.0,3.0,97230,North Gresham,45.53087234,-122.471344
